Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Semahat Sevim Arsel,2.3,Turkey,diversified,1362,92,"Istanbul, Turkey",Turkey,Married,,,FALSE
Sezai Bacaksiz,2.3,Turkey,diversified,1362,71,"Ankara, Turkey",Turkey,Married,2,,TRUE
Suhail Bahwan,2.3,Oman,diversified,1362,82,"Muscat, Oman",Oman,Married,15,,TRUE
Bang Jun-hyuk,2.3,South Korea,online gaming,1362,52,"Seoul, South Korea",South Korea,Married,3,,TRUE
Bang Shi-hyuk,2.3,South Korea,entertainment,1362,48,"Seoul, South Korea",South Korea,Single,,,TRUE
Anand Burman,2.3,India,consumer goods,1362,69,"New Delhi, India",India,Married,2,"Bachelor of Arts / Science, University of Kansas",FALSE
Cao Longxiang & family,2.3,China,pharmaceuticals,1362,63,"Taixing, China",China,Married,,,TRUE
Vanich Chaiyawan,2.3,Thailand,"insurance, beverages",1362,89,"Bangkok, Thailand",Thailand,Married,8,,TRUE
Chen Zhisong,2.3,China,communication equipment,1362,55,"Xiamen, China",China,,,"Bachelor of Arts/Science, Xiamen University",TRUE
Jim Coulter,2.3,United States,private equity,1362,61,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University",TRUE
"Edward DeBartolo, Jr.",2.3,United States,shopping centers,1362,74,"Tampa, Florida",United States,Married,3,"Bachelor of Arts/Science, Notre Dame University",FALSE
Maria Del Pino,2.3,Spain,construction,1362,65,"Madrid, Spain",Spain,Married,3,"Bachelor of Arts/Science, IESE Business School",FALSE
Deng Yingzhong,2.3,China,paper,1362,70,"Zhongshan, China",China,,,,TRUE
Bob Ell,2.3,Australia,real estate,1362,76,"Surfers Paradise, Australia",Australia,Married,5,,TRUE
Sandeep Engineer,2.3,India,plastic pipes,1362,59,"Ahmedabad, India",India,Married,2,,TRUE
Fong Yun Wah,2.3,Hong Kong,real estate,1362,96,"Hong Kong, Hong Kong",Hong Kong,Widowed,8,,FALSE
Lindsay Fox,2.3,Australia,"logistics, real estate",1362,84,"Melbourne, Australia",Australia,Married,5,,TRUE
Mario Germano Giuliani,2.3,Switzerland,pharmaceuticals,1362,49,"Monaco, Monaco",Switzerland,Married,,"Bachelor of Arts/Economics, Catholic University of the Sacred Heart",FALSE
Harsh Goenka,2.3,India,diversified,1362,63,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development",FALSE
Noam Gottesman,2.3,United States,hedge funds,1362,59,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Columbia University",TRUE
Joseph Grendys,2.3,United States,poultry processing,1362,59,"Chicago, Illinois",United States,Single,,"Bachelor of Arts/Science, Loyola University Chicago",TRUE
Guan Yihong,2.3,China,restaurant,1362,,"Guangzhou, China",China,Married,,,TRUE
David Hains,2.3,Australia,Investments,1362,90,"Melbourne, Australia",Australia,Widowed,5,"Bachelor of Science in Engineering, University of Melbourne",TRUE
Michael Hintze,2.3,Australia,investment,1362,67,"London, United Kingdom",Australia,Married,4,"Master of Business Administration, Harvard Business School; Master of Science, University of New South Wales; Bachelor of Arts/Science, University of Sydney",TRUE
Stewart Horejsi & family,2.3,United States,Berkshire Hathaway,1362,83,"Phoenix, Arizona",United States,Divorced,2,,TRUE
Hua Xuande & family,2.3,China,pharmaceuticals,1362,77,"Taizhou, China",China,Married,,,TRUE
Jared Isaacman,2.3,United States,payment processing,1362,38,"Easton, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, Embry-Riddle Aeronautical University",TRUE
David Jiang,2.3,China,e-cigarettes,1362,42,"Beijing, China",China,,,,TRUE
Jiang Weiping & family,2.3,China,chemicals,1362,66,"Chengdu, China",China,Married,,"Bachelor of Science in Engineering, Xihua University",TRUE
Boris Jordan,2.3,United States,cannabis,1362,54,"New York, New York",United States,Married,5,,TRUE
Baba Kalyani,2.3,India,engineering,1362,72,"Pune, India",India,Married,1,"Master of Science, Massachusetts Institute of Technology",FALSE
Jim Kavanaugh,2.3,United States,IT provider,1362,58,"St. Louis, Missouri",United States,,,"Bachelor of Arts/Science, St. Louis University",TRUE
Mustafa Rahmi Koc,2.3,Turkey,diversified,1362,90,"Istanbul, Turkey",Turkey,Divorced,3,"Bachelor of Arts/Science, Johns Hopkins University",FALSE
Eiichi Kuriwada,2.3,Japan,package delivery,1362,74,"Osaka, Japan",Japan,Married,3,"High School Graduate, Arai High School",TRUE
Lai Jianfa,2.3,China,express delivery,1362,,"Shanghai, China",China,,,"Master of Business Administration, Fudan University",TRUE
Lam Kong,2.3,China,pharmaceuticals,1362,56,"Hong Kong, Hong Kong",China,,,"Bachelor of Arts/Science, Guangdong Medical College",TRUE
David Xueling Li,2.3,China,live streaming service,1362,48,"Guangzhou, China",China,,,,TRUE
Li Xuhui,2.3,China,soy sauce,1362,52,"Foshan, China",China,,,,TRUE
Liang Zhaoxian,2.3,China,appliances,1362,56,"Foshan, China",China,,,"Bachelor of Arts/Science, South China University of Technology",FALSE
Liu Ming Chung,2.3,Brazil,paper,1362,58,"Hong Kong, Hong Kong",Brazil,Married,,,TRUE
